----------------------------------------ARGUMENTS----------------------------------------
data_path                                ../TripAdvisor/reviews.pickle
index_dir                                ../TripAdvisor/1/
lr                                       0.001
epochs                                   100
batch_size                               128
cuda                                     True
log_interval                             200
checkpoint                               ./tripadvisormf/
outf                                     generated.txt
endure_times                             5
rating_reg                               0.01
text_reg                                 1.0
use_mf                                   True
words                                    20
----------------------------------------ARGUMENTS----------------------------------------
[2022-01-17 19:47:57.074161]: Loading data
Special tokens have been added in the vocabulary, make sure the associated word embedding are fine-tuned or trained.
[2022-01-17 19:50:15.408800]: epoch 1
[2022-01-17 19:52:03.120744]: text ppl 577.8413 | rating loss 17.7254 |   200/ 2001 batches
[2022-01-17 19:53:50.973071]: text ppl 29.9767 | rating loss 18.1651 |   400/ 2001 batches
[2022-01-17 19:55:38.973661]: text ppl 25.0036 | rating loss 17.8583 |   600/ 2001 batches
[2022-01-17 19:57:26.997582]: text ppl 23.3797 | rating loss 17.9383 |   800/ 2001 batches
[2022-01-17 19:59:14.767637]: text ppl 22.3135 | rating loss 17.7364 |  1000/ 2001 batches
[2022-01-17 20:01:02.438656]: text ppl 21.8235 | rating loss 17.4413 |  1200/ 2001 batches
[2022-01-17 20:02:50.072416]: text ppl 21.6739 | rating loss 17.5689 |  1400/ 2001 batches
[2022-01-17 20:04:37.711900]: text ppl 21.2605 | rating loss 17.4911 |  1600/ 2001 batches
[2022-01-17 20:06:25.406247]: text ppl 20.9624 | rating loss 17.2610 |  1800/ 2001 batches
[2022-01-17 20:08:13.073768]: text ppl 20.9449 | rating loss 16.9801 |  2000/ 2001 batches
[2022-01-17 20:08:13.228061]: text ppl 24.0762 | rating loss 17.7555 |  2001/ 2001 batches
[2022-01-17 20:08:59.079015]: text ppl 19.6147 | rating loss 17.5198 | valid loss 20.4960 on validation
[2022-01-17 20:09:01.144381]: epoch 2
[2022-01-17 20:10:49.626452]: text ppl 17.4608 | rating loss 15.3554 |   200/ 2001 batches
[2022-01-17 20:12:37.789108]: text ppl 17.5819 | rating loss 15.2412 |   400/ 2001 batches
[2022-01-17 20:14:25.967125]: text ppl 17.7990 | rating loss 15.1403 |   600/ 2001 batches
[2022-01-17 20:16:14.128557]: text ppl 17.6452 | rating loss 14.9111 |   800/ 2001 batches
[2022-01-17 20:18:02.290607]: text ppl 17.6359 | rating loss 14.6412 |  1000/ 2001 batches
[2022-01-17 20:19:50.430742]: text ppl 17.8346 | rating loss 14.2080 |  1200/ 2001 batches
[2022-01-17 20:21:38.544913]: text ppl 17.6669 | rating loss 13.7871 |  1400/ 2001 batches
[2022-01-17 20:23:26.661749]: text ppl 17.8606 | rating loss 13.1604 |  1600/ 2001 batches
[2022-01-17 20:25:14.764211]: text ppl 17.7409 | rating loss 12.1859 |  1800/ 2001 batches
[2022-01-17 20:27:02.930186]: text ppl 17.6511 | rating loss 11.1785 |  2000/ 2001 batches
[2022-01-17 20:27:03.078176]: text ppl 16.3210 | rating loss 9.7467 |  2001/ 2001 batches
[2022-01-17 20:27:48.898599]: text ppl 18.3966 | rating loss 12.3525 | valid loss 15.2647 on validation
[2022-01-17 20:27:50.773320]: epoch 3
[2022-01-17 20:29:39.243664]: text ppl 14.0372 | rating loss 6.8389 |   200/ 2001 batches
[2022-01-17 20:31:27.387144]: text ppl 14.5296 | rating loss 5.9248 |   400/ 2001 batches
[2022-01-17 20:33:15.513147]: text ppl 14.8606 | rating loss 5.0065 |   600/ 2001 batches
[2022-01-17 20:35:03.635533]: text ppl 15.1301 | rating loss 4.1420 |   800/ 2001 batches
[2022-01-17 20:36:51.781599]: text ppl 15.2925 | rating loss 3.4265 |  1000/ 2001 batches
[2022-01-17 20:38:39.902763]: text ppl 15.4500 | rating loss 2.8465 |  1200/ 2001 batches
[2022-01-17 20:40:28.036556]: text ppl 15.5832 | rating loss 2.3249 |  1400/ 2001 batches
[2022-01-17 20:42:16.183016]: text ppl 15.8495 | rating loss 1.9285 |  1600/ 2001 batches
[2022-01-17 20:44:04.256681]: text ppl 15.6872 | rating loss 1.6272 |  1800/ 2001 batches
[2022-01-17 20:45:52.403195]: text ppl 15.7845 | rating loss 1.3663 |  2000/ 2001 batches
[2022-01-17 20:45:52.551575]: text ppl 13.2915 | rating loss 0.7943 |  2001/ 2001 batches
[2022-01-17 20:46:38.364179]: text ppl 18.4284 | rating loss 3.3364 | valid loss 6.2503 on validation
[2022-01-17 20:46:40.201527]: epoch 4
[2022-01-17 20:48:28.707385]: text ppl 11.9583 | rating loss 0.6744 |   200/ 2001 batches
[2022-01-17 20:50:16.827951]: text ppl 12.5867 | rating loss 0.6241 |   400/ 2001 batches
[2022-01-17 20:52:04.955781]: text ppl 12.9463 | rating loss 0.6105 |   600/ 2001 batches
[2022-01-17 20:53:53.107772]: text ppl 13.2529 | rating loss 0.5864 |   800/ 2001 batches
[2022-01-17 20:55:41.260216]: text ppl 13.4812 | rating loss 0.5615 |  1000/ 2001 batches
[2022-01-17 20:57:29.407769]: text ppl 13.7005 | rating loss 0.5427 |  1200/ 2001 batches
[2022-01-17 20:59:17.545168]: text ppl 13.7088 | rating loss 0.5352 |  1400/ 2001 batches
[2022-01-17 21:01:05.699766]: text ppl 13.8790 | rating loss 0.5363 |  1600/ 2001 batches
[2022-01-17 21:02:53.831813]: text ppl 13.8893 | rating loss 0.5305 |  1800/ 2001 batches
[2022-01-17 21:04:42.005259]: text ppl 14.0866 | rating loss 0.5375 |  2000/ 2001 batches
[2022-01-17 21:04:42.153192]: text ppl 15.4751 | rating loss 0.5856 |  2001/ 2001 batches
[2022-01-17 21:05:27.949196]: text ppl 18.7056 | rating loss 2.4705 | valid loss 5.3993 on validation
[2022-01-17 21:05:30.076670]: epoch 5
[2022-01-17 21:07:18.551482]: text ppl 10.2634 | rating loss 0.3021 |   200/ 2001 batches
[2022-01-17 21:09:06.701641]: text ppl 10.7861 | rating loss 0.3211 |   400/ 2001 batches
[2022-01-17 21:10:54.851960]: text ppl 11.1730 | rating loss 0.3292 |   600/ 2001 batches
[2022-01-17 21:12:43.042760]: text ppl 11.4545 | rating loss 0.3354 |   800/ 2001 batches
[2022-01-17 21:14:31.202569]: text ppl 11.5934 | rating loss 0.3499 |  1000/ 2001 batches
[2022-01-17 21:16:19.413585]: text ppl 11.8336 | rating loss 0.3579 |  1200/ 2001 batches
[2022-01-17 21:18:07.616935]: text ppl 12.0162 | rating loss 0.3659 |  1400/ 2001 batches
[2022-01-17 21:19:55.755946]: text ppl 12.1360 | rating loss 0.3776 |  1600/ 2001 batches
[2022-01-17 21:21:43.937616]: text ppl 12.2739 | rating loss 0.3740 |  1800/ 2001 batches
[2022-01-17 21:23:32.077278]: text ppl 12.3400 | rating loss 0.3813 |  2000/ 2001 batches
[2022-01-17 21:23:32.225304]: text ppl 9.9342 | rating loss 0.3394 |  2001/ 2001 batches
[2022-01-17 21:24:18.043812]: text ppl 19.3429 | rating loss 2.4315 | valid loss 5.3938 on validation
[2022-01-17 21:24:19.886789]: epoch 6
[2022-01-17 21:26:08.434061]: text ppl 8.5980 | rating loss 0.2222 |   200/ 2001 batches
[2022-01-17 21:27:56.615689]: text ppl 9.1458 | rating loss 0.2364 |   400/ 2001 batches
[2022-01-17 21:29:44.789991]: text ppl 9.4752 | rating loss 0.2492 |   600/ 2001 batches
[2022-01-17 21:31:32.979741]: text ppl 9.7072 | rating loss 0.2612 |   800/ 2001 batches
